"BAU","plus1","diff","year","SCC_j_1.5","SCC_j_3"
1761855813149.96,1761855813150.77,0.81005859375,50,0.384781622211592,0.184780100278907
1820384341847.1,1820384341847.94,0.840087890625,51,0.393148451951912,0.186048539317672
1880743412856.42,1880743412857.3,0.880126953125,52,0.405799141699455,0.189238560770664
1942982977980.65,1942982977981.56,0.91015625,53,0.413443069698098,0.189995382506237
2007154216104.89,2007154216105.82,0.929931640625,54,0.416183389839123,0.188469418508651
2073309558930.35,2073309558931.31,0.960205078125,55,0.423381302576675,0.188936836617037
2141502717284.09,2141502717285.09,1.000244140625,56,0.434517878067642,0.191082727831962
2211788708013.88,2211788708014.91,1.0302734375,57,0.440948728661354,0.19108680314293
2284223881477.69,2284223881478.75,1.06005859375,58,0.446991660599911,0.190884576277228
2358865949637.66,2358865949638.77,1.1103515625,59,0.461279352414926,0.194117303758913
2435774014768.64,2435774014769.78,1.1396484375,60,0.466453508947337,0.193436050829257
2515008598791.57,2515008598792.75,1.18017578125,61,0.475902647572494,0.194480468071944
2596631673242.68,2596631673243.89,1.20947265625,62,0.480508898600866,0.193503187138917
2680706689889.24,2680706689890.49,1.24951171875,63,0.489079739124921,0.194086432416479
2767298612003.44,2767298612004.73,1.2900390625,64,0.49748060867682,0.194545182031944
2856473946305.81,2856473946307.14,1.330078125,65,0.505340847930422,0.194741066952447
2948300775590.32,2948300775591.69,1.36962890625,66,0.512677342955822,0.194691092768207
3042848792043.23,3042848792044.64,1.40966796875,67,0.519866701479047,0.194546210761578
3140189331268.39,3140189331269.85,1.4599609375,68,0.530457217737523,0.195618514256113
3240395407031.78,3240395407033.27,1.48974609375,69,0.533280053813922,0.193795527809657
3343541746738.44,3343541746739.98,1.5400390625,70,0.543136237244063,0.194502867024868
3449704827655.42,3449704827657.01,1.59033203125,71,0.552584637134146,0.1950045982294
3558962913894.42,3558962913896.05,1.63037109375,72,0.558124933909961,0.194091397911583
3671396094168.31,3671396094169.99,1.68017578125,73,0.566674455666995,0.194194674940104
3787086320336.04,3787086320337.76,1.7197265625,74,0.571442152329746,0.192976653642412
3906117446750.6,3906117446752.37,1.76953125,75,0.579302053536252,0.19278195663323
4028575270425.26,4028575270427.08,1.8203125,76,0.587119818501492,0.192538185111307
4154547572033.52,4154547572035.39,1.86962890625,77,0.594114512210145,0.191994643212008
4284124157758.42,4284124157760.35,1.93017578125,78,0.604290221441167,0.192439107936384
4417396902007.54,4417396902009.52,1.9794921875,79,0.610571395603387,0.191607736430756
4554459791010,4554459791012.03,2.029296875,80,0.616683326843202,0.190707428503126
4695408967312.32,4695408967314.4,2.080078125,81,0.622773643744232,0.189786119360315
4840342775190.37,4840342775192.51,2.1396484375,82,0.631141818008563,0.189535251159329
4989361806994.85,4989361806997.05,2.19921875,83,0.639126643998302,0.189137994182205
5142568950448.27,5142568950450.53,2.2587890625,84,0.646737624604324,0.188603088751074
5300069436911.64,5300069436913.96,2.3203125,85,0.65453502097158,0.188097221224296
5461970890639.55,5461970890641.92,2.3701171875,86,0.658703826399473,0.186538506387241
5628383379042.65,5628383379045.09,2.439453125,87,0.66795437954615,0.186403442243742
5799419463976.94,5799419463979.43,2.4912109375,88,0.672045664993957,0.184813940925084
5975194254079.65,5975194254082.21,2.560546875,89,0.680542058697799,0.184424974445799
6155825458171.95,6155825458174.58,2.6298828125,90,0.688640553435002,0.183901881829825
6341433439749.07,6341433439751.76,2.689453125,91,0.693831694343479,0.182589807649223
6532141272578.85,6532141272581.6,2.75,92,0.698967216971011,0.181262523122665
6728074797430.15,6728074797432.98,2.8310546875,93,0.708934855715042,0.181170032040422
6929362679953.07,6929362679955.96,2.8896484375,94,0.712913825579675,0.179533660689026
7136136469733.08,7136136469736.05,2.970703125,95,0.722079872348491,0.179193769810719
